id block state chan freq value
040 04 OM 7 0.095 -79.496
040 04 OM 7 0.100 -78.804
040 04 OM 8 0.005 -53.747
040 04 OM 8 0.010 -55.608
040 04 OM 8 0.015 -63.087
040 04 OM 8 0.020 -67.857
040 04 OM 8 0.025 -70.572
040 04 OM 8 0.030 -69.351
040 04 OM 8 0.035 -69.364
040 04 OM 8 0.040 -69.748
040 04 OM 8 0.045 -68.105
040 04 OM 8 0.050 -74.220
040 04 OM 8 0.055 -78.469
040 04 OM 8 0.060 -77.466
040 04 OM 8 0.065 -79.006
040 04 OM 8 0.070 -79.336
040 04 OM 8 0.075 -82.104
040 04 OM 8 0.080 -84.302
040 04 OM 8 0.085 -80.093
040 04 OM 8 0.090 -75.840
040 04 OM 8 0.095 -77.031
040 04 OM 8 0.100 -77.866
040 05 OM 1 0.005 -54.733
040 05 OM 1 0.010 -57.021
040 05 OM 1 0.015 -63.443
040 05 OM 1 0.020 -68.755
040 05 OM 1 0.025 -75.375
040 05 OM 1 0.030 -71.702
040 05 OM 1 0.035 -74.579
040 05 OM 1 0.040 -68.969
040 05 OM 1 0.045 -67.631
040 05 OM 1 0.050 -76.916
040 05 OM 1 0.055 -79.716
040 05 OM 1 0.060 -83.129
040 05 OM 1 0.065 -79.605
040 05 OM 1 0.070 -80.134
040 05 OM 1 0.075 -87.458
040 05 OM 1 0.080 -85.524
040 05 OM 1 0.085 -80.094
040 05 OM 1 0.090 -82.315
040 05 OM 1 0.095 -90.058
040 05 OM 1 0.100 -87.998
040 05 OM 2 0.005 -62.297
040 05 OM 2 0.010 -63.339
040 05 OM 2 0.015 -66.647
040 05 OM 2 0.020 -71.050
040 05 OM 2 0.025 -80.060
040 05 OM 2 0.030 -79.031
040 05 OM 2 0.035 -77.577
040 05 OM 2 0.040 -70.076
040 05 OM 2 0.045 -67.704
040 05 OM 2 0.050 -76.385
040 05 OM 2 0.055 -85.072
040 05 OM 2 0.060 -87.225
040 05 OM 2 0.065 -81.076
040 05 OM 2 0.070 -83.700
040 05 OM 2 0.075 -85.788
040 05 OM 2 0.080 -83.548
040 05 OM 2 0.085 -76.491
040 05 OM 2 0.090 -75.217
040 05 OM 2 0.095 -81.847
040 05 OM 2 0.100 -86.187
040 05 OM 3 0.005 -58.247
040 05 OM 3 0.010 -64.793
040 05 OM 3 0.015 -71.188
040 05 OM 3 0.020 -71.655
040 05 OM 3 0.025 -76.837
040 05 OM 3 0.030 -79.539
040 05 OM 3 0.035 -77.906
040 05 OM 3 0.040 -71.834
040 05 OM 3 0.045 -67.788
040 05 OM 3 0.050 -75.091
040 05 OM 3 0.055 -88.217
040 05 OM 3 0.060 -87.275
040 05 OM 3 0.065 -80.663
