,,ANATOMY,,,,,,,PHYSIOLOGY,,,,,,,,,,,,,,,,STATES,,,,,,,,,,,MIMOSA,,,,,,,,,,,,,,,
SUBJECT,,,,,,,,,EYES,,CORRUGATORS,,TRAPEZIUS,,HEART,,,RESPI,EGG,,,,MEG,,PHENO,RS,,,FA,,,OP,,,,CALIBRATION,PHENO,RHYTHM ENTRAINEMENT,,PREPROC,MMN_MAIN,,,,MMN_COLOR,,MMN_FREQUENCY,,,,
#,000,0 or 1,0 or 1 or -1,0 or 1 or -1,,0 or 1,0 or 1,,EOGH,EOGV,,,EEG060,17380395,EEG062,,ico4,EEG061,0 or 1,,,,,,,,0 or 1,,,0 or 1,,,0 or 1,,,,,,,,,,,,,,,,,,
group,id,nifti,recon,bem_ico4,coreg,src_surf_ico4,src_vol_6.2,,eogH_chan,eogV_chan,emgCorr_chan,emgCorr_baseline,emgTrap_chan,emgTrap_baseline,ecg_chan,ecg_erp,ecg_src,respi_chan,egg,egg_chans,egg_maxchan,egg_phase,bad,,pheno_states,rs,rs_preproc,rs_src,fa,fa_preproc,fa_src,op,op_preproc,op_src,,calib,pheno_mimosa,behav,psd_delta,preproc,mmn_main_erp,mmn_main_src,mmn_main_learnmod,mmn_main_dcm,mmn_col_erp,mmn_col_src,mmn_freq_erp,mmn_freq_src,,,
N,091,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,092,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG009,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,093,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLT31|MLT41|MLT42|MLT51|MLT52|MRT31|MRT32|MRT33|MRT34|MRT41|MRT42|MRT43|MRT44|MRT51|MRT52|MRT53|MRT54|MRT55|MRT56|MRT57,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,094,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MRT21|MRT22|MRT31|MRT32|MRT41|MRT42|MRT51|MRT52,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,095,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG008,,ico4|6.2,EEG061,1,EEG002|EEG003|EEG005|EEG006|EEG007|EEG008,,,MRT51|MRT52|MRT53,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,096,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLT51|MLT52,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,097,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,098,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,099,1,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,101,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,0,NA,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,102,1,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,103,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,104,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,105,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,106,1,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,107,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,108,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,109,0,NA,NA,NA,NA,NA,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG059,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
